date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,cereals and tubers,Maize flour,76,2.1 KG,aggregate,Retail,NGN,2300.0,1.48
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,cereals and tubers,Rice (local),71,2.7 KG,aggregate,Retail,NGN,3966.67,2.55
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,cereals and tubers,Sorghum,65,2.7 KG,aggregate,Retail,NGN,1600.0,1.03
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,cereals and tubers,Yam,99,2.5 KG,aggregate,Retail,NGN,2833.33,1.82
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,"meat, fish and eggs",Fish,139,KG,aggregate,Retail,NGN,1833.33,1.18
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,"meat, fish and eggs",Meat (beef),141,KG,aggregate,Retail,NGN,5500.0,3.54
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,milk and dairy,Milk (powder),238,400 G,aggregate,Retail,NGN,4000.0,2.57
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,miscellaneous food,Sugar,97,500 G,aggregate,Retail,NGN,1106.67,0.71
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,oil and fats,Oil (palm),62,L,aggregate,Retail,NGN,2350.0,1.51
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,oil and fats,Oil (vegetable),96,L,aggregate,Retail,NGN,3375.0,2.17
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,pulses and nuts,Beans (red),78,2.5 KG,aggregate,Retail,NGN,3500.0,2.25
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,pulses and nuts,Beans (white),66,2.5 KG,aggregate,Retail,NGN,3233.33,2.08
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,pulses and nuts,Cowpeas,218,2.5 KG,aggregate,Retail,NGN,2900.0,1.86
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,pulses and nuts,Groundnuts,153,2.2 KG,aggregate,Retail,NGN,4133.33,2.66
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,vegetables and fruits,Oranges,360,400 G,aggregate,Retail,NGN,333.33,0.21
2025-01-15,Adamawa,Madagali,Madagali,3175,10.89,13.63,vegetables and fruits,Watermelons,716,2.1 KG,aggregate,Retail,NGN,2333.33,1.5
2025-01-15,Adamawa,Michika,Michika,3188,10.57,13.53,cereals and tubers,Millet,73,2.6 KG,aggregate,Retail,NGN,2300.0,1.48
2025-01-15,Adamawa,Michika,Michika,3188,10.57,13.53,cereals and tubers,Rice (imported),64,2.8 KG,aggregate,Retail,NGN,7000.0,4.5
