date,state,commodity,unit,price
2018-10-15,Adamawa,Yam,2.5 KG,1250.0
2018-10-15,Borno,Beans (red),2.5 KG,798.0
2018-10-15,Borno,Oranges,400 G,113.10000000000001
2018-10-15,Borno,Rice (local),2.7 KG,906.4
2018-10-15,Borno,Tomatoes,0.5 KG,73.4
2018-10-15,Borno,Yam,2.5 KG,637.25
2018-10-15,Yobe,Beans (red),2.5 KG,730.1111111111111
2018-10-15,Yobe,Oranges,400 G,98.88888888888889
2018-10-15,Yobe,Rice (local),2.7 KG,670.2222222222222
2018-10-15,Yobe,Tomatoes,0.5 KG,75.0
2018-10-15,Yobe,Yam,2.5 KG,339.25
2018-11-15,Adamawa,Rice (local),2.7 KG,558.0
2018-11-15,Borno,Beans (red),2.5 KG,892.8571428571429
2018-11-15,Borno,Oranges,400 G,106.25
2018-11-15,Borno,Rice (local),2.7 KG,895.2857142857143
2018-11-15,Borno,Tomatoes,0.5 KG,95.83333333333333
2018-11-15,Borno,Yam,2.5 KG,648.1666666666666
2018-11-15,Yobe,Beans (red),2.5 KG,677.7777777777778
2018-11-15,Yobe,Oranges,400 G,95.625
2018-11-15,Yobe,Rice (local),2.7 KG,675.8333333333334
2018-11-15,Yobe,Tomatoes,0.5 KG,72.14285714285714
2018-11-15,Yobe,Yam,2.5 KG,334.7142857142857
2018-12-15,Adamawa,Rice (local),2.7 KG,486.0
2018-12-15,Adamawa,Yam,2.5 KG,1241.0
2018-12-15,Borno,Beans (red),2.5 KG,1044.5
2018-12-15,Borno,Oranges,400 G,100.0
2018-12-15,Borno,Rice (local),2.7 KG,891.4285714285714
2018-12-15,Borno,Tomatoes,0.5 KG,85.85000000000001
2018-12-15,Borno,Yam,2.5 KG,552.5
2018-12-15,Yobe,Beans (red),2.5 KG,616.6
2018-12-15,Yobe,Oranges,400 G,95.55555555555556
2018-12-15,Yobe,Rice (local),2.7 KG,684.6
2018-12-15,Yobe,Tomatoes,0.5 KG,107.14285714285714
2018-12-15,Yobe,Yam,2.5 KG,247.71428571428572
2020-01-15,Borno,Beans (red),2.5 KG,447.7142857142857
2020-01-15,Borno,Oranges,400 G,105.12857142857142
2020-01-15,Borno,Rice (local),2.7 KG,761.8
2020-01-15,Borno,Tomatoes,0.5 KG,93.57142857142857
2020-01-15,Borno,Yam,2.5 KG,646.6
2020-01-15,Yobe,Beans (red),2.5 KG,313.625
2020-01-15,Yobe,Oranges,400 G,86.11111111111111
2020-01-15,Yobe,Rice (local),2.7 KG,616.1666666666666
2020-01-15,Yobe,Tomatoes,0.5 KG,28.333333333333332
2020-01-15,Yobe,Yam,2.5 KG,262.0
2020-02-15,Adamawa,Rice (local),2.7 KG,615.0
2020-02-15,Adamawa,Yam,2.5 KG,1185.0
2020-02-15,Borno,Beans (red),2.5 KG,376.14285714285717
2020-02-15,Borno,Oranges,400 G,70.0
2020-02-15,Borno,Rice (local),2.7 KG,832.6666666666666
2020-02-15,Borno,Tomatoes,0.5 KG,56.666666666666664
2020-02-15,Borno,Yam,2.5 KG,542.25
2020-02-15,Yobe,Beans (red),2.5 KG,351.57142857142856
2020-02-15,Yobe,Oranges,400 G,82.85714285714286
